COMMAND   PID     USER   FD   TYPE             DEVICE  SIZE/OFF                NODE NAME
java    32434 mbennett  cwd    DIR               1,13       736           235039811 /Users/mbennett/Dropbox/dev/opencv-pipeline-editor
java    32434 mbennett  txt    REG               1,13     70432           235430471 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/bin/java
java    32434 mbennett  txt    REG               1,13     32768           240598380 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/T/hsperfdata_mbennett/32434
java    32434 mbennett  txt    REG               1,13    148752           235430510 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libjli.dylib
java    32434 mbennett  txt    REG               1,13       110 1152921500312100187 /System/Library/CoreServices/SystemVersion.bundle/English.lproj/SystemVersion.strings
java    32434 mbennett  txt    REG               1,13   2299152 1152921500312560823 /usr/lib/dyld
java    32434 mbennett  txt    REG               1,13     77616           235430516 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libjimage.dylib
java    32434 mbennett  txt    REG               1,13     73640           238509203 /Library/Preferences/Logging/.plist-cache.OSvhlqeD
java    32434 mbennett  txt    REG               1,13     81288 1152921500312572309 /usr/share/locale/en_US.UTF-8/LC_COLLATE
java    32434 mbennett  txt    REG               1,13    188304           235430566 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libjava.dylib
java    32434 mbennett  txt    REG               1,13    126832           235430504 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libnio.dylib
java    32434 mbennett  txt    REG               1,13    114320           235430503 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libnet.dylib
java    32434 mbennett  txt    REG               1,13     97328           238803980 /Users/mbennett/.openjfx/cache/23.0.2+3/aarch64/libprism_es2.dylib
java    32434 mbennett  txt    REG               1,13    162640           235430506 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libzip.dylib
java    32434 mbennett  txt    REG               1,13    167994           240260003 /private/var/db/analyticsd/events.allowlist
java    32434 mbennett  txt    REG               1,13    137016 1152921500312099876 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/SystemAppearance.car
java    32434 mbennett  txt    REG               1,13     73240 1152921500312099861 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/FauxVibrantDark.car
java    32434 mbennett  txt    REG               1,13   1230816 1152921500312129309 /System/Library/Extensions/AppleMetalOpenGLRenderer.bundle/Contents/MacOS/AppleMetalOpenGLRenderer
java    32434 mbennett  txt    REG               1,13  24059312 1152921500312125985 /System/Library/Extensions/AGXMetalG16X.bundle/Contents/MacOS/AGXMetalG16X
java    32434 mbennett  txt    REG               1,13    248480 1152921500312560839 /usr/lib/libobjc-trampolines.dylib
java    32434 mbennett  txt    REG               1,13      6873 1152921500312140288 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/InputManager.loctable
java    32434 mbennett  txt    REG               1,13    177475 1152921500312140294 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/MenuCommands.loctable
java    32434 mbennett  txt    REG               1,13  18135792           235430536 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/server/libjvm.dylib
java    32434 mbennett  txt    REG               1,13 140421990           235430563 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/modules
java    32434 mbennett  txt    REG               1,13    423200           238803981 /Users/mbennett/.openjfx/cache/23.0.2+3/aarch64/libglass.dylib
java    32434 mbennett  txt    REG               1,13   7793176 1152921500312099849 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/DarkAqua.car
java    32434 mbennett  txt    REG               1,13   6741096 1152921500312099880 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/VibrantDark.car
java    32434 mbennett  txt    REG               1,13   1570984 1152921500312140120 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Assets.car
java    32434 mbennett  txt    REG               1,13    139252           229637222 /System/Library/Caches/com.apple.IntlDataCache.le.kbdx
java    32434 mbennett  txt    REG               1,13     60821 1152921500312140210 /System/Library/Frameworks/AppKit.framework/Versions/C/Resources/Common.loctable
java    32434 mbennett  txt    REG               1,13   3359496 1152921500312099843 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Assets.car
java    32434 mbennett  txt    REG               1,13   1554156 1152921500312208240 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/AppleKeyboardLayouts-L.dat
java    32434 mbennett  txt    REG               1,13    249677 1152921500312208242 /System/Library/Keyboard Layouts/AppleKeyboardLayouts.bundle/Contents/Resources/InfoPlist.loctable
java    32434 mbennett  txt    REG               1,13     74560           235430546 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libprefs.dylib
java    32434 mbennett  txt    REG               1,13    101056           238803984 /Users/mbennett/.openjfx/cache/23.0.2+3/aarch64/libjavafx_font.dylib
java    32434 mbennett  txt    REG               1,13   2369592 1152921500312138201 /System/Library/Fonts/Helvetica.ttc
java    32434 mbennett  txt    REG               1,13    189568           235430569 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libosxapp.dylib
java    32434 mbennett  txt    REG               1,13    551744           235430567 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libawt.dylib
java    32434 mbennett  txt    REG               1,13  34125552 1152921500312571275 /usr/share/icu/icudt76l.dat
java    32434 mbennett  txt    REG               1,13  20725760           240424172 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/0/com.apple.LaunchServices.dv/com.apple.LaunchServices-18874393-v2.csstore
java    32434 mbennett  txt    REG               1,13    507888           235430540 /Library/Java/JavaVirtualMachines/temurin-21-arm64.jdk/Contents/Home/lib/libmlib_image.dylib
java    32434 mbennett  txt    REG               1,13  22768324           240598387 /private/var/folders/y3/rxnq666x3cq3c76ss368pdpc0000gp/T/opencv_openpnp9657104524493645548/nu/pattern/opencv/osx/ARMv8/libopencv_java490.dylib
java    32434 mbennett  txt    REG               1,13  37314192 1152921500312125990 /System/Library/Extensions/AGXMetalG16X.bundle/Contents/Resources/ds.g16s
java    32434 mbennett  txt    REG               1,13   7911096 1152921500312099837 /System/Library/CoreServices/SystemAppearance.bundle/Contents/Resources/Aqua.car
java    32434 mbennett  txt    REG               1,13   8333964 1152921500312138277 /System/Library/Fonts/SFNS.ttf
